Champion,Rating,Normalized Number of Players
Androxus,1100, 1.992e-03
Ash,1100, 4.058e-04
Barik,1100, 2.709e-04
Bomb King,1100, 4.622e-04
Buck,1100, 3.978e-04
Cassie,1100, 2.168e-03
Drogoz,1100, 3.670e-04
Evie,1100, 1.067e-03
Fernando,1100, 6.358e-04
Grohk,1100, 3.678e-04
Grover,1100, 4.376e-04
Inara,1100, 7.672e-04
Kinessa,1100, 5.593e-03
Lex,1100, 7.295e-04
Maeve,1100, 1.178e-03
Makoa,1100, 8.867e-04
Mal'Damba,1100, 1.375e-03
Pip,1100, 8.327e-04
Ruckus,1100, 4.836e-04
Seris,1100, 7.079e-04
Sha Lin,1100, 1.707e-03
Skye,1100, 7.623e-04
Torvald,1100, 4.248e-05
Tyra,1100, 5.686e-04
Viktor,1100, 1.182e-03
Willo,1100, 6.878e-04
Ying,1100, 2.990e-04
Zhin,1100, 4.131e-04
Androxus,1150, 4.402e-03
Ash,1150, 1.037e-03
Barik,1150, 7.686e-04
Bomb King,1150, 1.022e-03
Buck,1150, 1.163e-03
Cassie,1150, 4.831e-03
Drogoz,1150, 1.018e-03
Evie,1150, 2.444e-03
Fernando,1150, 1.393e-03
Grohk,1150, 7.166e-04
Grover,1150, 1.035e-03
Inara,1150, 1.609e-03
Kinessa,1150, 1.081e-02
Lex,1150, 1.477e-03
Maeve,1150, 2.799e-03
Makoa,1150, 2.129e-03
Mal'Damba,1150, 3.047e-03
Pip,1150, 1.790e-03
Ruckus,1150, 1.234e-03
Seris,1150, 1.795e-03
Sha Lin,1150, 3.772e-03
Skye,1150, 1.798e-03
Torvald,1150, 1.221e-04
Tyra,1150, 1.288e-03
Viktor,1150, 2.691e-03
Willo,1150, 1.268e-03
Ying,1150, 6.647e-04
Zhin,1150, 1.499e-03
Androxus,1200, 8.128e-03
Ash,1200, 2.093e-03
Barik,1200, 1.780e-03
Bomb King,1200, 2.221e-03
Buck,1200, 2.340e-03
Cassie,1200, 9.288e-03
Drogoz,1200, 2.185e-03
Evie,1200, 4.979e-03
Fernando,1200, 2.576e-03
Grohk,1200, 1.526e-03
Grover,1200, 2.120e-03
Inara,1200, 3.322e-03
Kinessa,1200, 1.742e-02
Lex,1200, 3.310e-03
Maeve,1200, 5.682e-03
Makoa,1200, 4.615e-03
Mal'Damba,1200, 6.566e-03
Pip,1200, 3.861e-03
Ruckus,1200, 2.552e-03
Seris,1200, 4.048e-03
Sha Lin,1200, 7.213e-03
Skye,1200, 3.788e-03
Torvald,1200, 3.395e-04
Tyra,1200, 2.654e-03
Viktor,1200, 5.563e-03
Willo,1200, 2.631e-03
Ying,1200, 1.613e-03
Zhin,1200, 2.542e-03
Androxus,1250, 1.460e-02
Ash,1250, 4.579e-03
Barik,1250, 3.452e-03
Bomb King,1250, 4.634e-03
Buck,1250, 5.065e-03
Cassie,1250, 1.633e-02
Drogoz,1250, 4.424e-03
Evie,1250, 9.052e-03
Fernando,1250, 5.260e-03
Grohk,1250, 3.368e-03
Grover,1250, 4.575e-03
Inara,1250, 6.332e-03
Kinessa,1250, 2.767e-02
Lex,1250, 6.916e-03
Maeve,1250, 1.078e-02
Makoa,1250, 9.168e-03
Mal'Damba,1250, 1.211e-02
Pip,1250, 7.528e-03
Ruckus,1250, 4.992e-03
Seris,1250, 7.019e-03
Sha Lin,1250, 1.330e-02
Skye,1250, 7.413e-03
Torvald,1250, 7.781e-04
Tyra,1250, 5.490e-03
Viktor,1250, 1.021e-02
Willo,1250, 4.881e-03
Ying,1250, 3.353e-03
Zhin,1250, 5.419e-03
Androxus,1300, 2.265e-02
Ash,1300, 9.023e-03
Barik,1300, 6.961e-03
Bomb King,1300, 8.535e-03
Buck,1300, 1.002e-02
Cassie,1300, 2.649e-02
Drogoz,1300, 8.146e-03
Evie,1300, 1.514e-02
Fernando,1300, 9.875e-03
Grohk,1300, 6.204e-03
Grover,1300, 8.950e-03
Inara,1300, 1.108e-02
Kinessa,1300, 3.990e-02
Lex,1300, 1.187e-02
Maeve,1300, 1.767e-02
Makoa,1300, 1.655e-02
Mal'Damba,1300, 2.062e-02
Pip,1300, 1.295e-02
Ruckus,1300, 9.800e-03
Seris,1300, 1.187e-02
Sha Lin,1300, 2.230e-02
Skye,1300, 1.366e-02
Torvald,1300, 1.730e-03
Tyra,1300, 9.977e-03
Viktor,1300, 1.773e-02
Willo,1300, 8.945e-03
Ying,1300, 6.601e-03
Zhin,1300, 1.041e-02
Androxus,1350, 3.411e-02
Ash,1350, 1.685e-02
Barik,1350, 1.250e-02
Bomb King,1350, 1.490e-02
Buck,1350, 1.764e-02
Cassie,1350, 3.912e-02
Drogoz,1350, 1.368e-02
Evie,1350, 2.499e-02
Fernando,1350, 1.732e-02
Grohk,1350, 1.122e-02
Grover,1350, 1.630e-02
Inara,1350, 1.822e-02
Kinessa,1350, 5.594e-02
Lex,1350, 2.021e-02
Maeve,1350, 2.788e-02
Makoa,1350, 2.740e-02
Mal'Damba,1350, 3.204e-02
Pip,1350, 2.225e-02
Ruckus,1350, 1.743e-02
Seris,1350, 1.960e-02
Sha Lin,1350, 3.409e-02
Skye,1350, 2.197e-02
Torvald,1350, 3.866e-03
Tyra,1350, 1.722e-02
Viktor,1350, 2.844e-02
Willo,1350, 1.473e-02
Ying,1350, 1.201e-02
Zhin,1350, 1.728e-02
Androxus,1400, 4.644e-02
Ash,1400, 2.815e-02
Barik,1400, 2.123e-02
Bomb King,1400, 2.326e-02
Buck,1400, 2.752e-02
Cassie,1400, 5.346e-02
Drogoz,1400, 2.210e-02
Evie,1400, 3.739e-02
Fernando,1400, 2.795e-02
Grohk,1400, 1.858e-02
Grover,1400, 2.750e-02
Inara,1400, 2.972e-02
Kinessa,1400, 6.967e-02
Lex,1400, 3.134e-02
Maeve,1400, 4.066e-02
Makoa,1400, 4.281e-02
Mal'Damba,1400, 4.846e-02
Pip,1400, 3.483e-02
Ruckus,1400, 2.860e-02
Seris,1400, 3.133e-02
Sha Lin,1400, 4.815e-02
Skye,1400, 3.380e-02
Torvald,1400, 7.365e-03
Tyra,1400, 2.696e-02
Viktor,1400, 4.213e-02
Willo,1400, 2.497e-02
Ying,1400, 1.941e-02
Zhin,1400, 2.928e-02
Androxus,1450, 5.904e-02
Ash,1450, 4.308e-02
Barik,1450, 3.172e-02
Bomb King,1450, 3.524e-02
Buck,1450, 4.126e-02
Cassie,1450, 6.889e-02
Drogoz,1450, 3.227e-02
Evie,1450, 5.266e-02
Fernando,1450, 4.170e-02
Grohk,1450, 2.889e-02
Grover,1450, 4.189e-02
Inara,1450, 4.421e-02
Kinessa,1450, 8.288e-02
Lex,1450, 4.445e-02
Maeve,1450, 5.405e-02
Makoa,1450, 6.019e-02
Mal'Damba,1450, 6.477e-02
Pip,1450, 4.823e-02
Ruckus,1450, 4.179e-02
Seris,1450, 4.533e-02
Sha Lin,1450, 6.297e-02
Skye,1450, 4.796e-02
Torvald,1450, 1.336e-02
Tyra,1450, 3.954e-02
Viktor,1450, 5.614e-02
Willo,1450, 3.565e-02
Ying,1450, 2.977e-02
Zhin,1450, 3.878e-02
Androxus,1500, 7.155e-02
Ash,1500, 5.516e-02
Barik,1500, 4.631e-02
Bomb King,1500, 4.905e-02
Buck,1500, 5.553e-02
Cassie,1500, 8.378e-02
Drogoz,1500, 4.424e-02
Evie,1500, 6.570e-02
Fernando,1500, 5.902e-02
Grohk,1500, 4.304e-02
Grover,1500, 6.080e-02
Inara,1500, 5.875e-02
Kinessa,1500, 9.372e-02
Lex,1500, 5.742e-02
Maeve,1500, 6.964e-02
Makoa,1500, 7.783e-02
Mal'Damba,1500, 8.206e-02
Pip,1500, 6.291e-02
Ruckus,1500, 5.783e-02
Seris,1500, 6.320e-02
Sha Lin,1500, 7.865e-02
Skye,1500, 6.428e-02
Torvald,1500, 2.273e-02
Tyra,1500, 5.485e-02
Viktor,1500, 7.291e-02
Willo,1500, 4.904e-02
Ying,1500, 4.332e-02
Zhin,1500, 5.068e-02
Androxus,1550, 8.078e-02
Ash,1550, 7.459e-02
Barik,1550, 6.274e-02
Bomb King,1550, 6.494e-02
Buck,1550, 7.090e-02
Cassie,1550, 9.543e-02
Drogoz,1550, 5.658e-02
Evie,1550, 7.786e-02
Fernando,1550, 7.765e-02
Grohk,1550, 5.868e-02
Grover,1550, 8.049e-02
Inara,1550, 7.502e-02
Kinessa,1550, 9.599e-02
Lex,1550, 7.271e-02
Maeve,1550, 8.386e-02
Makoa,1550, 9.413e-02
Mal'Damba,1550, 9.638e-02
Pip,1550, 7.833e-02
Ruckus,1550, 7.583e-02
Seris,1550, 7.875e-02
Sha Lin,1550, 9.209e-02
Skye,1550, 8.147e-02
Torvald,1550, 3.562e-02
Tyra,1550, 6.990e-02
Viktor,1550, 8.861e-02
Willo,1550, 6.521e-02
Ying,1550, 5.841e-02
Zhin,1550, 6.683e-02
Androxus,1600, 8.754e-02
Ash,1600, 9.222e-02
Barik,1600, 7.808e-02
Bomb King,1600, 8.049e-02
Buck,1600, 8.632e-02
Cassie,1600, 1.001e-01
Drogoz,1600, 7.065e-02
Evie,1600, 9.128e-02
Fernando,1600, 9.204e-02
Grohk,1600, 7.708e-02
Grover,1600, 9.848e-02
Inara,1600, 8.881e-02
Kinessa,1600, 9.464e-02
Lex,1600, 8.497e-02
Maeve,1600, 9.392e-02
Makoa,1600, 1.055e-01
Mal'Damba,1600, 1.061e-01
Pip,1600, 8.985e-02
Ruckus,1600, 9.058e-02
Seris,1600, 9.583e-02
Sha Lin,1600, 9.803e-02
Skye,1600, 9.471e-02
Torvald,1600, 5.234e-02
Tyra,1600, 8.475e-02
Viktor,1600, 9.955e-02
Willo,1600, 8.180e-02
Ying,1600, 7.446e-02
Zhin,1600, 7.684e-02
Androxus,1650, 9.108e-02
Ash,1650, 1.064e-01
Barik,1650, 9.154e-02
Bomb King,1650, 9.233e-02
Buck,1650, 9.567e-02
Cassie,1650, 9.921e-02
Drogoz,1650, 8.282e-02
Evie,1650, 9.811e-02
Fernando,1650, 1.029e-01
Grohk,1650, 9.311e-02
Grover,1650, 1.091e-01
Inara,1650, 9.994e-02
Kinessa,1650, 9.060e-02
Lex,1650, 9.258e-02
Maeve,1650, 9.979e-02
Makoa,1650, 1.112e-01
Mal'Damba,1650, 1.075e-01
Pip,1650, 9.765e-02
Ruckus,1650, 1.018e-01
Seris,1650, 1.081e-01
Sha Lin,1650, 9.838e-02
Skye,1650, 1.040e-01
Torvald,1650, 6.947e-02
Tyra,1650, 9.718e-02
Viktor,1650, 1.053e-01
Willo,1650, 9.409e-02
Ying,1650, 8.777e-02
Zhin,1650, 8.540e-02
Androxus,1700, 8.823e-02
Ash,1700, 1.084e-01
Barik,1700, 1.006e-01
Bomb King,1700, 9.711e-02
Buck,1700, 9.874e-02
Cassie,1700, 8.865e-02
Drogoz,1700, 8.832e-02
Evie,1700, 9.541e-02
Fernando,1700, 1.066e-01
Grohk,1700, 1.013e-01
Grover,1700, 1.123e-01
Inara,1700, 1.043e-01
Kinessa,1700, 7.863e-02
Lex,1700, 9.635e-02
Maeve,1700, 9.893e-02
Makoa,1700, 1.058e-01
Mal'Damba,1700, 1.008e-01
Pip,1700, 9.869e-02
Ruckus,1700, 1.051e-01
Seris,1700, 1.088e-01
Sha Lin,1700, 9.274e-02
Skye,1700, 1.053e-01
Torvald,1700, 8.556e-02
Tyra,1700, 1.033e-01
Viktor,1700, 1.024e-01
Willo,1700, 1.002e-01
Ying,1700, 9.557e-02
Zhin,1700, 9.054e-02
Androxus,1750, 7.985e-02
Ash,1750, 1.038e-01
Barik,1750, 1.035e-01
Bomb King,1750, 9.584e-02
Buck,1750, 9.749e-02
Cassie,1750, 7.793e-02
Drogoz,1750, 8.926e-02
Evie,1750, 9.013e-02
Fernando,1750, 1.020e-01
Grohk,1750, 1.051e-01
Grover,1750, 1.050e-01
Inara,1750, 9.919e-02
Kinessa,1750, 6.166e-02
Lex,1750, 9.136e-02
Maeve,1750, 9.104e-02
Makoa,1750, 9.486e-02
Mal'Damba,1750, 8.772e-02
Pip,1750, 9.382e-02
Ruckus,1750, 1.000e-01
Seris,1750, 1.013e-01
Sha Lin,1750, 8.252e-02
Skye,1750, 9.925e-02
Torvald,1750, 9.842e-02
Tyra,1750, 1.007e-01
Viktor,1750, 9.157e-02
Willo,1750, 1.009e-01
Ying,1750, 9.875e-02
Zhin,1750, 9.124e-02
Androxus,1800, 6.908e-02
Ash,1800, 9.105e-02
Barik,1800, 9.923e-02
Bomb King,1800, 9.083e-02
Buck,1800, 9.000e-02
Cassie,1800, 6.342e-02
Drogoz,1800, 8.824e-02
Evie,1800, 7.892e-02
Fernando,1800, 9.236e-02
Grohk,1800, 9.934e-02
Grover,1800, 9.259e-02
Inara,1800, 9.112e-02
Kinessa,1800, 4.759e-02
Lex,1800, 8.453e-02
Maeve,1800, 7.810e-02
Makoa,1800, 7.784e-02
Mal'Damba,1800, 7.030e-02
Pip,1800, 8.195e-02
Ruckus,1800, 9.066e-02
Seris,1800, 8.852e-02
Sha Lin,1800, 7.011e-02
Skye,1800, 8.845e-02
Torvald,1800, 1.047e-01
Tyra,1800, 9.190e-02
Viktor,1800, 7.777e-02
Willo,1800, 9.320e-02
Ying,1800, 9.672e-02
Zhin,1800, 8.943e-02
Androxus,1850, 5.952e-02
Ash,1850, 7.686e-02
Barik,1850, 9.144e-02
Bomb King,1850, 8.235e-02
Buck,1850, 7.972e-02
Cassie,1850, 4.926e-02
Drogoz,1850, 8.463e-02
Evie,1850, 6.740e-02
Fernando,1850, 7.831e-02
Grohk,1850, 9.113e-02
Grover,1850, 7.680e-02
Inara,1850, 7.871e-02
Kinessa,1850, 3.484e-02
Lex,1850, 7.585e-02
Maeve,1850, 6.402e-02
Makoa,1850, 6.013e-02
Mal'Damba,1850, 5.392e-02
Pip,1850, 7.105e-02
Ruckus,1850, 7.864e-02
Seris,1850, 7.337e-02
Sha Lin,1850, 5.799e-02
Skye,1850, 7.248e-02
Torvald,1850, 1.047e-01
Tyra,1850, 8.169e-02
Viktor,1850, 6.261e-02
Willo,1850, 8.388e-02
Ying,1850, 9.048e-02
Zhin,1850, 8.455e-02
Androxus,1900, 4.828e-02
Ash,1900, 6.147e-02
Barik,1900, 7.881e-02
Bomb King,1900, 7.046e-02
Buck,1900, 6.533e-02
Cassie,1900, 3.752e-02
Drogoz,1900, 7.561e-02
Evie,1900, 5.337e-02
Fernando,1900, 6.204e-02
Grohk,1900, 7.825e-02
Grover,1900, 5.893e-02
Inara,1900, 6.316e-02
Kinessa,1900, 2.460e-02
Lex,1900, 6.181e-02
Maeve,1900, 5.116e-02
Makoa,1900, 4.256e-02
Mal'Damba,1900, 3.908e-02
Pip,1900, 5.825e-02
Ruckus,1900, 6.422e-02
Seris,1900, 5.575e-02
Sha Lin,1900, 4.519e-02
Skye,1900, 5.634e-02
Torvald,1900, 1.007e-01
Tyra,1900, 6.817e-02
Viktor,1900, 4.806e-02
Willo,1900, 6.743e-02
Ying,1900, 7.988e-02
Zhin,1900, 7.044e-02
Androxus,1950, 3.801e-02
Ash,1950, 4.446e-02
Barik,1950, 6.070e-02
Bomb King,1950, 5.652e-02
Buck,1950, 4.842e-02
Cassie,1950, 2.683e-02
Drogoz,1950, 6.505e-02
Evie,1950, 4.184e-02
Fernando,1950, 4.612e-02
Grohk,1950, 6.173e-02
Grover,1950, 4.183e-02
Inara,1950, 4.718e-02
Kinessa,1950, 1.785e-02
Lex,1950, 5.064e-02
Maeve,1950, 3.813e-02
Makoa,1950, 2.902e-02
Mal'Damba,1950, 2.687e-02
Pip,1950, 4.491e-02
Ruckus,1950, 4.776e-02
Seris,1950, 4.016e-02
Sha Lin,1950, 3.298e-02
Skye,1950, 3.968e-02
Torvald,1950, 8.907e-02
Tyra,1950, 5.044e-02
Viktor,1950, 3.379e-02
Willo,1950, 5.123e-02
Ying,1950, 6.533e-02
Zhin,1950, 5.346e-02
Androxus,2000, 2.888e-02
Ash,2000, 3.184e-02
Barik,2000, 4.253e-02
Bomb King,2000, 4.193e-02
Buck,2000, 3.690e-02
Cassie,2000, 1.850e-02
Drogoz,2000, 5.290e-02
Evie,2000, 3.067e-02
Fernando,2000, 3.158e-02
Grohk,2000, 4.582e-02
Grover,2000, 2.679e-02
Inara,2000, 3.198e-02
Kinessa,2000, 1.307e-02
Lex,2000, 3.868e-02
Maeve,2000, 2.597e-02
Makoa,2000, 1.734e-02
Mal'Damba,2000, 1.742e-02
Pip,2000, 3.251e-02
Ruckus,2000, 3.309e-02
Seris,2000, 2.653e-02
Sha Lin,2000, 2.141e-02
Skye,2000, 2.626e-02
Torvald,2000, 7.101e-02
Tyra,2000, 3.584e-02
Viktor,2000, 2.142e-02
Willo,2000, 3.859e-02
Ying,2000, 4.960e-02
Zhin,2000, 4.187e-02
Androxus,2050, 2.100e-02
Ash,2050, 2.110e-02
Barik,2050, 2.816e-02
Bomb King,2050, 3.014e-02
Buck,2050, 2.457e-02
Cassie,2050, 1.283e-02
Drogoz,2050, 4.005e-02
Evie,2050, 2.136e-02
Fernando,2050, 1.986e-02
Grohk,2050, 3.041e-02
Grover,2050, 1.618e-02
Inara,2050, 1.988e-02
Kinessa,2050, 9.658e-03
Lex,2050, 2.631e-02
Maeve,2050, 1.751e-02
Makoa,2050, 9.518e-03
Mal'Damba,2050, 1.015e-02
Pip,2050, 2.281e-02
Ruckus,2050, 2.060e-02
Seris,2050, 1.633e-02
Sha Lin,2050, 1.422e-02
Skye,2050, 1.646e-02
Torvald,2050, 5.253e-02
Tyra,2050, 2.441e-02
Viktor,2050, 1.297e-02
Willo,2050, 2.880e-02
Ying,2050, 3.455e-02
Zhin,2050, 3.514e-02
Androxus,2100, 1.417e-02
Ash,2100, 1.167e-02
Barik,2100, 1.768e-02
Bomb King,2100, 2.106e-02
Buck,2100, 1.556e-02
Cassie,2100, 8.547e-03
Drogoz,2100, 2.865e-02
Evie,2100, 1.425e-02
Fernando,2100, 1.110e-02
Grohk,2100, 1.890e-02
Grover,2100, 9.071e-03
Inara,2100, 1.147e-02
Kinessa,2100, 6.573e-03
Lex,2100, 1.722e-02
Maeve,2100, 1.117e-02
Makoa,2100, 4.763e-03
Mal'Damba,2100, 5.660e-03
Pip,2100, 1.399e-02
Ruckus,2100, 1.242e-02
Seris,2100, 9.796e-03
Sha Lin,2100, 8.741e-03
Skye,2100, 9.136e-03
Torvald,2100, 3.634e-02
Tyra,2100, 1.497e-02
Viktor,2100, 7.650e-03
Willo,2100, 2.043e-02
Ying,2100, 2.272e-02
Zhin,2100, 2.089e-02
Androxus,2150, 9.360e-03
Ash,2150, 7.250e-03
Barik,2150, 1.003e-02
Bomb King,2150, 1.366e-02
Buck,2150, 1.092e-02
Cassie,2150, 5.773e-03
Drogoz,2150, 1.978e-02
Evie,2150, 9.448e-03
Fernando,2150, 5.747e-03
Grohk,2150, 1.124e-02
Grover,2150, 4.447e-03
Inara,2150, 6.729e-03
Kinessa,2150, 4.727e-03
Lex,2150, 1.093e-02
Maeve,2150, 6.480e-03
Makoa,2150, 2.360e-03
Mal'Damba,2150, 3.074e-03
Pip,2150, 8.482e-03
Ruckus,2150, 7.020e-03
Seris,2150, 5.884e-03
Sha Lin,2150, 5.081e-03
Skye,2150, 5.378e-03
Torvald,2150, 2.302e-02
Tyra,2150, 8.271e-03
Viktor,2150, 4.228e-03
Willo,2150, 1.324e-02
Ying,2150, 1.330e-02
Zhin,2150, 1.415e-02
Androxus,2200, 6.766e-03
Ash,2200, 3.514e-03
Barik,2200, 5.256e-03
Bomb King,2200, 8.707e-03
Buck,2200, 7.000e-03
Cassie,2200, 3.627e-03
Drogoz,2200, 1.268e-02
Evie,2200, 6.471e-03
Fernando,2200, 2.716e-03
Grohk,2200, 7.041e-03
Grover,2200, 2.188e-03
Inara,2200, 3.656e-03
Kinessa,2200, 3.186e-03
Lex,2200, 6.990e-03
Maeve,2200, 4.099e-03
Makoa,2200, 1.230e-03
Mal'Damba,2200, 1.480e-03
Pip,2200, 5.190e-03
Ruckus,2200, 3.551e-03
Seris,2200, 3.000e-03
Sha Lin,2200, 3.089e-03
Skye,2200, 2.667e-03
Torvald,2200, 1.318e-02
Tyra,2200, 4.448e-03
Viktor,2200, 2.370e-03
Willo,2200, 8.231e-03
Ying,2200, 7.652e-03
Zhin,2200, 9.561e-03
Androxus,2250, 4.664e-03
Ash,2250, 2.141e-03
Barik,2250, 2.568e-03
Bomb King,2250, 5.284e-03
Buck,2250, 4.106e-03
Cassie,2250, 2.517e-03
Drogoz,2250, 7.457e-03
Evie,2250, 3.819e-03
Fernando,2250, 1.348e-03
Grohk,2250, 3.678e-03
Grover,2250, 1.115e-03
Inara,2250, 1.986e-03
Kinessa,2250, 2.462e-03
Lex,2250, 4.758e-03
Maeve,2250, 2.308e-03
Makoa,2250, 6.495e-04
Mal'Damba,2250, 7.743e-04
Pip,2250, 3.001e-03
Ruckus,2250, 1.874e-03
Seris,2250, 1.399e-03
Sha Lin,2250, 1.722e-03
Skye,2250, 1.268e-03
Torvald,2250, 7.124e-03
Tyra,2250, 2.510e-03
Viktor,2250, 1.390e-03
Willo,2250, 4.570e-03
Ying,2250, 4.127e-03
Zhin,2250, 6.434e-03
Androxus,2300, 3.108e-03
Ash,2300, 1.182e-03
Barik,2300, 1.203e-03
Bomb King,2300, 3.482e-03
Buck,2300, 2.419e-03
Cassie,2300, 1.435e-03
Drogoz,2300, 4.146e-03
Evie,2300, 2.194e-03
Fernando,2300, 7.044e-04
Grohk,2300, 1.632e-03
Grover,2300, 5.081e-04
Inara,2300, 1.119e-03
Kinessa,2300, 1.662e-03
Lex,2300, 2.536e-03
Maeve,2300, 1.238e-03
Makoa,2300, 3.106e-04
Mal'Damba,2300, 4.022e-04
Pip,2300, 1.481e-03
Ruckus,2300, 8.810e-04
Seris,2300, 6.953e-04
Sha Lin,2300, 8.009e-04
Skye,2300, 5.453e-04
Torvald,2300, 3.372e-03
Tyra,2300, 1.235e-03
Viktor,2300, 8.472e-04
Willo,2300, 2.421e-03
Ying,2300, 1.949e-03
Zhin,2300, 3.305e-03
Androxus,2350, 1.942e-03
Ash,2350, 8.116e-04
Barik,2350, 4.986e-04
Bomb King,2350, 2.098e-03
Buck,2350, 1.425e-03
Cassie,2350, 9.331e-04
Drogoz,2350, 2.272e-03
Evie,2350, 1.094e-03
Fernando,2350, 2.854e-04
Grohk,2350, 6.531e-04
Grover,2350, 2.504e-04
Inara,2350, 5.132e-04
Kinessa,2350, 7.433e-04
Lex,2350, 1.521e-03
Maeve,2350, 5.808e-04
Makoa,2350, 1.583e-04
Mal'Damba,2350, 1.979e-04
Pip,2350, 9.268e-04
Ruckus,2350, 4.466e-04
Seris,2350, 2.840e-04
Sha Lin,2350, 4.210e-04
Skye,2350, 2.489e-04
Torvald,2350, 1.427e-03
Tyra,2350, 5.566e-04
Viktor,2350, 4.972e-04
Willo,2350, 1.164e-03
Ying,2350, 8.613e-04
Zhin,2350, 1.734e-03
Androxus,2400, 1.115e-03
Ash,2400, 4.198e-04
Barik,2400, 1.708e-04
Bomb King,2400, 1.215e-03
Buck,2400, 1.066e-03
Cassie,2400, 7.178e-04
Drogoz,2400, 9.685e-04
Evie,2400, 6.819e-04
Fernando,2400, 1.385e-04
Grohk,2400, 2.377e-04
Grover,2400, 6.932e-05
Inara,2400, 2.157e-04
Kinessa,2400, 3.483e-04
Lex,2400, 7.339e-04
Maeve,2400, 2.589e-04
Makoa,2400, 5.354e-05
Mal'Damba,2400, 7.628e-05
Pip,2400, 3.932e-04
Ruckus,2400, 2.560e-04
Seris,2400, 1.516e-04
Sha Lin,2400, 2.643e-04
Skye,2400, 9.828e-05
Torvald,2400, 6.167e-04
Tyra,2400, 2.222e-04
Viktor,2400, 1.942e-04
Willo,2400, 6.575e-04
Ying,2400, 4.080e-04
Zhin,2400, 8.822e-04
